                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     56,                 1.3287,                 1.0034,                0.91757,                0.33915,                0.40942,                0.32635,                0.19439,                 1.5128,                  1.846,                 1.0008,             0.00026927,             0.00026927,             0.00026927
                     57,                 1.3383,                0.99211,                0.91924,                0.32585,                0.39939,                0.31424,                0.17873,                 1.5495,                 1.8367,                 1.0068,             0.00026744,             0.00026744,             0.00026744
                     58,                 1.3192,                0.98868,                0.92176,                0.34881,                0.32897,                0.31401,                 0.1829,                   1.53,                 1.8705,                 1.0022,              0.0002656,              0.0002656,              0.0002656
                     59,                  1.304,                0.96738,                0.91672,                0.34294,                0.41431,                0.31122,                0.17951,                  1.518,                 1.8293,                 1.0076,             0.00026377,             0.00026377,             0.00026377
                     60,                 1.2983,                0.95619,                 0.9166,                0.32801,                0.37701,                0.31339,                0.17836,                  1.581,                  1.853,                  1.031,             0.00026194,             0.00026194,             0.00026194
                     61,                 1.3251,                0.96904,                0.91151,                0.32945,                0.42171,                0.30494,                0.17402,                 1.5218,                 1.8686,                 1.0037,             0.00026011,             0.00026011,             0.00026011
                     62,                 1.2966,                0.93551,                0.91152,                0.32171,                0.38802,                0.31183,                0.17612,                 1.5539,                 1.8814,                 1.0074,             0.00025828,             0.00025828,             0.00025828
                     63,                 1.2894,                0.94505,                0.91028,                0.32291,                0.37892,                0.30297,                0.17207,                 1.5456,                 1.8034,                 1.0026,             0.00025645,             0.00025645,             0.00025645
                     64,                 1.2999,                0.93407,                0.91174,                 0.2463,                0.38816,                0.28756,                0.16951,                 1.5741,                 1.8375,                 1.0229,             0.00025462,             0.00025462,             0.00025462
                     65,                 1.2846,                0.92979,                0.90949,                0.32393,                0.38914,                0.30793,                0.17946,                 1.5479,                 1.8941,                 1.0075,             0.00025278,             0.00025278,             0.00025278
                     66,                 1.2997,                0.93397,                0.90662,                0.33257,                0.32309,                0.30612,                 0.1776,                 1.5814,                 1.8922,                 1.0194,             0.00025095,             0.00025095,             0.00025095
                     67,                 1.2691,                 0.9236,                0.91653,                0.36009,                0.38272,                0.32722,                0.18418,                 1.5483,                 1.8759,                 1.0155,             0.00024912,             0.00024912,             0.00024912
                     68,                 1.3084,                0.92924,                0.91362,                0.33879,                0.41573,                0.31217,                0.17772,                 1.5498,                 1.9305,                 1.0066,             0.00024729,             0.00024729,             0.00024729
                     69,                 1.2551,                0.89387,                0.91002,                 0.3248,                0.43672,                 0.3422,                0.18655,                 1.5899,                 1.7683,                  1.017,             0.00024546,             0.00024546,             0.00024546
                     70,                 1.2699,                 0.8897,                0.90661,                0.34332,                 0.3694,                0.32687,                0.17817,                 1.5932,                 1.8159,                 1.0323,             0.00024363,             0.00024363,             0.00024363
                     71,                 1.2812,                0.89924,                0.91023,                0.45146,                0.30819,                 0.2965,                0.17277,                 1.5579,                    1.9,                 1.0121,             0.00024179,             0.00024179,             0.00024179
                     72,                 1.2738,                0.88022,                0.90524,                0.38517,                0.34587,                0.31026,                0.17914,                 1.5721,                 1.9193,                  1.014,             0.00023996,             0.00023996,             0.00023996
                     73,                 1.2636,                0.87575,                0.90472,                0.41854,                0.37936,                0.35777,                0.19949,                 1.5389,                 1.8152,                 1.0116,             0.00023813,             0.00023813,             0.00023813
                     74,                  1.287,                0.89671,                0.90868,                 0.4943,                0.33969,                0.34546,                0.19338,                  1.547,                 1.9549,                 1.0044,              0.0002363,              0.0002363,              0.0002363
                     75,                 1.2501,                0.86175,                0.90851,                0.41322,                0.34401,                0.35066,                0.19725,                 1.5287,                 1.8039,                 1.0161,             0.00023447,             0.00023447,             0.00023447
                     76,                 1.2804,                0.88516,                0.90684,                0.39307,                0.33715,                0.34192,                0.19313,                 1.5587,                 1.7526,                 1.0209,             0.00023264,             0.00023264,             0.00023264
                     77,                 1.2347,                0.83907,                 0.8973,                0.37213,                0.37025,                0.33703,                0.18867,                  1.536,                 1.8244,                 1.0174,             0.00023081,             0.00023081,             0.00023081
                     78,                 1.2535,                0.85895,                0.90542,                0.33491,                0.41518,                0.31042,                0.17551,                 1.5381,                 1.9731,                 1.0088,             0.00022897,             0.00022897,             0.00022897
                     79,                 1.2373,                0.84011,                0.89747,                0.38613,                0.37616,                 0.3551,                 0.2039,                 1.5622,                 1.8493,                 1.0153,             0.00022714,             0.00022714,             0.00022714
                     80,                  1.253,                0.84476,                0.90316,                0.37269,                0.36288,                   0.33,                0.18789,                 1.5682,                 1.8171,                 1.0219,             0.00022531,             0.00022531,             0.00022531
                     81,                 1.2245,                0.81567,                0.89836,                0.39294,                0.37845,                0.34969,                0.19686,                  1.546,                 1.9006,                 1.0119,             0.00022348,             0.00022348,             0.00022348
                     82,                 1.2193,                0.81582,                0.90002,                0.37277,                0.40623,                0.33592,                0.19442,                 1.5337,                 1.8507,                 1.0073,             0.00022165,             0.00022165,             0.00022165
                     83,                 1.2229,                0.82058,                 0.8983,                0.40851,                0.41823,                0.35482,                0.20125,                 1.5212,                  1.707,                 1.0047,             0.00021982,             0.00021982,             0.00021982
                     84,                 1.2095,                0.80411,                0.89077,                0.42513,                0.34761,                0.33997,                0.18919,                 1.5355,                 1.7897,                   1.01,             0.00021799,             0.00021799,             0.00021799
