                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     70,                 1.1836,                0.77037,                0.88505,                0.32204,                0.40329,                0.30092,                0.16855,                 1.5573,                 1.7525,                 1.0285,             0.00011725,             0.00011725,             0.00011725
                     71,                 1.1551,                0.74558,                0.88008,                0.39461,                0.34908,                 0.3171,                0.17349,                 1.5664,                 1.8058,                 1.0324,             0.00011359,             0.00011359,             0.00011359
                     72,                 1.1777,                0.75597,                0.88349,                0.35915,                0.32817,                0.31041,                0.17354,                 1.5775,                 1.7473,                 1.0323,             0.00010993,             0.00010993,             0.00010993
                     73,                 1.1739,                0.74569,                 0.8806,                0.31838,                0.40972,                0.31379,                0.17874,                  1.551,                 1.7251,                 1.0218,             0.00010626,             0.00010626,             0.00010626
                     74,                 1.1481,                 0.7367,                0.88119,                0.26564,                0.37267,                0.30111,                0.17033,                 1.5483,                 1.8164,                 1.0231,              0.0001026,              0.0001026,              0.0001026
                     75,                 1.1645,                0.74854,                0.88048,                 0.3201,                0.38696,                0.29332,                0.16575,                 1.5671,                 1.8046,                 1.0261,             9.8938e-05,             9.8938e-05,             9.8938e-05
                     76,                 1.1585,                0.74943,                0.88033,                0.31706,                0.39259,                0.29747,                0.16838,                 1.5808,                 1.8118,                  1.036,             9.5275e-05,             9.5275e-05,             9.5275e-05
                     77,                 1.1587,                0.72932,                0.88108,                0.35452,                0.34506,                0.30564,                0.17363,                  1.551,                 1.7217,                 1.0185,             9.1612e-05,             9.1612e-05,             9.1612e-05
                     78,                 1.1409,                0.72689,                0.87582,                0.27722,                0.38912,                0.30327,                  0.169,                 1.5953,                 1.7501,                 1.0299,             8.7949e-05,             8.7949e-05,             8.7949e-05
                     79,                 1.1207,                0.71004,                0.87562,                0.34998,                0.35338,                0.29753,                0.16745,                 1.5736,                 1.7829,                 1.0365,             8.4286e-05,             8.4286e-05,             8.4286e-05
                     80,                  1.149,                0.72694,                0.87613,                0.34535,                0.37744,                0.30409,                0.17081,                 1.5673,                 1.7224,                 1.0338,             8.0623e-05,             8.0623e-05,             8.0623e-05
                     81,                 1.1428,                0.72903,                 0.8787,                0.25612,                0.39407,                0.29019,                0.16662,                 1.5683,                 1.8031,                 1.0292,              7.696e-05,              7.696e-05,              7.696e-05
                     82,                 1.1401,                0.72173,                0.88061,                 0.3168,                0.35489,                0.27897,                0.16073,                 1.5808,                 1.8006,                 1.0301,             7.3297e-05,             7.3297e-05,             7.3297e-05
                     83,                   1.13,                0.71876,                0.87587,                0.33136,                0.34633,                0.29631,                 0.1671,                 1.5867,                 1.7579,                 1.0365,             6.9634e-05,             6.9634e-05,             6.9634e-05
                     84,                 1.1287,                0.71604,                0.87462,                0.32377,                0.36658,                0.28958,                0.16646,                 1.5582,                 1.7607,                 1.0262,             6.5971e-05,             6.5971e-05,             6.5971e-05
                     85,                 1.1007,                0.69687,                0.87012,                0.33753,                0.36931,                0.29863,                0.17061,                 1.5602,                 1.7469,                 1.0269,             6.2308e-05,             6.2308e-05,             6.2308e-05
                     86,                  1.118,                0.70538,                0.87648,                0.37837,                0.31868,                0.30006,                0.17256,                 1.5691,                 1.7745,                 1.0373,             5.8645e-05,             5.8645e-05,             5.8645e-05
                     87,                 1.1232,                0.70156,                0.87265,                0.34496,                0.35495,                0.29791,                0.17129,                   1.57,                 1.7866,                 1.0325,             5.4982e-05,             5.4982e-05,             5.4982e-05
                     88,                 1.1113,                  0.702,                0.87628,                0.34379,                0.37697,                0.29801,                0.17252,                 1.5707,                 1.8181,                 1.0311,             5.1319e-05,             5.1319e-05,             5.1319e-05
                     89,                 1.1068,                0.69744,                0.87127,                0.34326,                0.37542,                0.30545,                0.17422,                 1.5617,                 1.7721,                 1.0324,             4.7656e-05,             4.7656e-05,             4.7656e-05
                     90,                 1.1148,                 0.7032,                0.87434,                0.33046,                0.36894,                0.29683,                0.17027,                 1.5902,                 1.7463,                 1.0387,             4.3993e-05,             4.3993e-05,             4.3993e-05
                     91,                 1.1558,                 0.7605,                 0.8873,                0.35192,                0.36982,                0.29604,                0.16931,                 1.5623,                 1.8951,                 1.0288,              4.033e-05,              4.033e-05,              4.033e-05
                     92,                 1.1183,                0.70173,                 0.8815,                0.34321,                0.36744,                0.28771,                 0.1658,                 1.5424,                 1.9185,                 1.0249,             3.6667e-05,             3.6667e-05,             3.6667e-05
                     93,                 1.1011,                0.68686,                 0.8771,                0.35424,                0.36353,                 0.2919,                0.16803,                 1.5587,                  1.903,                 1.0262,             3.3004e-05,             3.3004e-05,             3.3004e-05
                     94,                 1.0958,                0.69815,                0.87367,                0.33656,                0.36972,                0.29166,                0.16785,                 1.5697,                 1.9164,                 1.0314,             2.9341e-05,             2.9341e-05,             2.9341e-05
                     95,                 1.0908,                0.68022,                0.87535,                0.33402,                0.36346,                0.29079,                0.16699,                  1.569,                 1.8907,                  1.032,             2.5678e-05,             2.5678e-05,             2.5678e-05
                     96,                  1.094,                0.68112,                0.87539,                0.34643,                0.36072,                0.29119,                0.16582,                 1.5784,                 1.8943,                 1.0383,             2.2015e-05,             2.2015e-05,             2.2015e-05
                     97,                 1.0793,                0.67452,                0.87332,                0.34283,                0.37001,                0.28902,                0.16625,                 1.5847,                 1.8887,                 1.0368,             1.8352e-05,             1.8352e-05,             1.8352e-05
                     98,                 1.0738,                0.66268,                0.87312,                0.34259,                0.36406,                0.28611,                 0.1661,                 1.5774,                 1.9014,                 1.0364,             1.4689e-05,             1.4689e-05,             1.4689e-05
                     99,                 1.0732,                 0.6626,                0.87006,                0.34937,                0.37509,                0.28797,                0.16441,                 1.5748,                 1.8829,                 1.0369,             1.1026e-05,             1.1026e-05,             1.1026e-05
                    100,                 1.0737,                0.66721,                0.86864,                0.33672,                0.37059,                0.28716,                0.16591,                 1.5842,                 1.9212,                 1.0372,              7.363e-06,              7.363e-06,              7.363e-06
