                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    122,                 1.5243,                0.97885,                0.89846,                0.18613,                0.26609,                0.20976,                0.12382,                   1.71,                 2.3587,                0.99955,             0.00025919,             0.00025919,             0.00025919
                    123,                   1.49,                0.95653,                 0.8936,                0.24127,                0.25945,                0.20232,                0.11555,                 1.7429,                 2.3833,                 1.0163,             0.00025828,             0.00025828,             0.00025828
                    124,                 1.4705,                0.96092,                0.89938,                0.25078,                 0.2088,                0.19677,                0.11331,                 1.7972,                 2.3599,                 1.0213,             0.00025736,             0.00025736,             0.00025736
                    125,                 1.5088,                0.96378,                0.89358,                0.22392,                0.29282,                0.24743,                0.14838,                 1.7559,                 2.3239,                 1.0115,             0.00025645,             0.00025645,             0.00025645
                    126,                 1.4972,                0.95051,                0.89805,                0.21647,                0.30909,                0.26224,                0.16284,                 1.7397,                 2.3265,                 1.0131,             0.00025553,             0.00025553,             0.00025553
                    127,                 1.5053,                0.97946,                0.89323,                0.26094,                0.24731,                0.20203,                0.12236,                 1.7617,                 2.4229,                 1.0133,             0.00025462,             0.00025462,             0.00025462
                    128,                   1.49,                0.94626,                0.89285,                0.21653,                0.29678,                0.24583,                0.14847,                 1.7738,                 2.5146,                 1.0223,              0.0002537,              0.0002537,              0.0002537
                    129,                 1.4514,                0.91964,                0.89007,                0.18121,                0.27051,                0.20192,                0.11598,                 1.7207,                 2.2728,                 1.0056,             0.00025278,             0.00025278,             0.00025278
                    130,                 1.4765,                0.92508,                0.88743,                0.19549,                0.26849,                0.21569,                0.12438,                 1.7227,                 2.1987,                 1.0028,             0.00025187,             0.00025187,             0.00025187
                    131,                 1.4594,                0.92639,                0.89332,                0.22033,                0.31437,                0.22997,                0.13951,                 1.7259,                 2.3408,                 1.0031,             0.00025095,             0.00025095,             0.00025095
                    132,                  1.478,                0.92645,                0.89302,                0.21776,                0.32003,                0.27328,                0.16802,                 1.7583,                 2.2182,                 1.0089,             0.00025004,             0.00025004,             0.00025004
                    133,                 1.4544,                 0.9383,                0.89152,                0.24333,                0.31796,                 0.2624,                0.17152,                 1.7564,                 2.3795,                 1.0076,             0.00024912,             0.00024912,             0.00024912
                    134,                 1.4871,                 0.9304,                0.88661,                0.23783,                0.30363,                0.26974,                0.17045,                 1.7474,                 2.3662,                 1.0129,             0.00024821,             0.00024821,             0.00024821
                    135,                  1.469,                 0.9382,                 0.8873,                0.15636,                0.33219,                0.19869,                0.11441,                 1.7532,                 2.3535,                 1.0149,             0.00024729,             0.00024729,             0.00024729
                    136,                 1.4576,                0.93086,                0.88426,                0.18411,                0.30309,                0.20923,                0.12249,                 1.7829,                 2.2574,                 1.0196,             0.00024637,             0.00024637,             0.00024637
                    137,                 1.4418,                0.91549,                0.89219,                0.24784,                0.25258,                0.21254,                 0.1251,                 1.8623,                 2.3348,                 1.0332,             0.00024546,             0.00024546,             0.00024546
                    138,                 1.4563,                0.90836,                0.88405,                0.29553,                0.23276,                0.21572,                0.12309,                 1.8116,                 2.2821,                 1.0252,             0.00024454,             0.00024454,             0.00024454
                    139,                  1.464,                0.93686,                0.89133,                0.22147,                0.28989,                0.25349,                0.15571,                 1.8006,                 2.3366,                 1.0298,             0.00024363,             0.00024363,             0.00024363
                    140,                 1.4722,                0.94121,                0.89011,                0.24232,                0.30798,                0.26026,                0.15118,                 1.6822,                 2.0503,                  0.994,             0.00024271,             0.00024271,             0.00024271
                    141,                  1.457,                0.92041,                0.89156,                 0.2194,                0.27657,                0.26852,                0.16131,                 1.6854,                 2.2854,                0.99467,             0.00024179,             0.00024179,             0.00024179
                    142,                 1.4396,                0.90289,                0.88666,                0.24218,                0.28746,                0.21394,                0.12878,                 1.7285,                 2.5253,                 1.0052,             0.00024088,             0.00024088,             0.00024088
                    143,                 1.4841,                0.93331,                0.88689,                0.24048,                0.26589,                0.21969,                0.13649,                 1.7276,                 2.3464,                 1.0129,             0.00023996,             0.00023996,             0.00023996
                    144,                 1.4714,                0.91524,                0.88845,                0.24703,                 0.2645,                0.23175,                0.13657,                 1.7508,                 2.3924,                 1.0122,             0.00023905,             0.00023905,             0.00023905
                    145,                 1.4652,                0.91413,                0.88359,                0.20465,                0.31318,                 0.2249,                0.13072,                 1.7388,                 2.2852,                 1.0048,             0.00023813,             0.00023813,             0.00023813
                    146,                 1.4277,                0.90268,                0.88443,                0.20369,                0.28366,                0.22308,                0.12881,                 1.7277,                 2.2103,                 1.0109,             0.00023722,             0.00023722,             0.00023722
                    147,                 1.4157,                0.87624,                0.88292,                0.17747,                0.23228,                 0.2104,                0.12578,                 1.7446,                 2.2339,                 1.0072,              0.0002363,              0.0002363,              0.0002363
                    148,                 1.4308,                0.89371,                0.88918,                0.23491,                 0.2324,                0.24259,                0.15115,                 1.7683,                 2.3264,                 1.0098,             0.00023538,             0.00023538,             0.00023538
                    149,                 1.4406,                0.90354,                0.88592,                0.21276,                0.31987,                0.21109,                0.12083,                 1.7991,                  2.234,                 1.0312,             0.00023447,             0.00023447,             0.00023447
                    150,                 1.4247,                0.88951,                0.88574,                0.20721,                0.32694,                0.21585,                0.12464,                 1.7611,                 2.2445,                 1.0162,             0.00023355,             0.00023355,             0.00023355
                    151,                 1.4191,                0.87978,                0.88762,                0.19479,                0.29356,                0.21408,                0.12143,                 1.7874,                 2.2127,                 1.0273,             0.00023264,             0.00023264,             0.00023264
