                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     53,                 1.7264,                 1.4357,                0.94548,                0.23434,                0.27402,                0.21443,                0.11851,                 1.7558,                 2.1481,                 1.0181,             0.00027476,             0.00027476,             0.00027476
                     54,                 1.7394,                 1.4381,                0.93444,                0.35113,                0.18655,                0.20756,                0.11879,                 1.7669,                 2.2344,                 1.0105,             0.00027293,             0.00027293,             0.00027293
                     55,                  1.713,                 1.4425,                0.93642,                0.20708,                0.23997,                0.19173,                0.10813,                 1.7335,                 2.1366,                 1.0091,              0.0002711,              0.0002711,              0.0002711
                     56,                 1.7292,                 1.4493,                0.94656,                0.16893,                0.27863,                0.20783,                0.11823,                  1.739,                 2.1233,                 1.0142,             0.00026927,             0.00026927,             0.00026927
                     57,                 1.6866,                 1.3701,                0.93359,                0.22315,                0.25469,                0.24762,                0.14018,                 1.7872,                 2.3568,                 1.0267,             0.00026744,             0.00026744,             0.00026744
                     58,                 1.6986,                 1.3987,                0.93366,                0.14712,                0.28017,                0.17606,                0.10376,                 1.7352,                 2.3679,                 1.0163,              0.0002656,              0.0002656,              0.0002656
                     59,                 1.6935,                  1.392,                0.93494,                0.20042,                0.23373,                0.21226,                0.11645,                 1.7077,                 2.1779,                  1.008,             0.00026377,             0.00026377,             0.00026377
                     60,                 1.6768,                  1.395,                0.93243,                0.23146,                0.23883,                0.22345,                0.12585,                 1.7574,                 2.1176,                 1.0085,             0.00026194,             0.00026194,             0.00026194
                     61,                  1.698,                 1.3703,                0.93059,                0.21329,                 0.2642,                0.22204,                0.12753,                 1.7289,                 2.2168,                0.99859,             0.00026011,             0.00026011,             0.00026011
                     62,                 1.6784,                 1.3213,                0.93304,                0.36436,                 0.2548,                0.20229,                0.11309,                 1.7452,                 2.1046,                 1.0149,             0.00025828,             0.00025828,             0.00025828
                     63,                 1.6527,                 1.3423,                0.93679,                 0.2872,                0.25256,                 0.2201,                0.12267,                 1.7614,                 2.1782,                 1.0318,             0.00025645,             0.00025645,             0.00025645
                     64,                 1.7225,                 1.3606,                0.92913,                0.25139,                0.25074,                0.18339,                0.10588,                 1.7515,                 2.4477,                 1.0051,             0.00025462,             0.00025462,             0.00025462
                     65,                 1.6522,                 1.3014,                0.92606,                0.25448,                0.25909,                0.26287,                   0.16,                   1.71,                 2.1668,                 1.0054,             0.00025278,             0.00025278,             0.00025278
                     66,                  1.646,                 1.2875,                0.92128,                0.29062,                0.28657,                0.22565,                0.13135,                 1.7096,                 2.1356,                 1.0034,             0.00025095,             0.00025095,             0.00025095
                     67,                 1.6575,                 1.2803,                0.93016,                0.22949,                0.25788,                0.20166,                0.11338,                 1.7539,                 2.3608,                 1.0268,             0.00024912,             0.00024912,             0.00024912
                     68,                 1.6601,                 1.2753,                0.92781,                0.22619,                0.28817,                0.24361,                0.13293,                 1.7572,                 2.1328,                 1.0241,             0.00024729,             0.00024729,             0.00024729
                     69,                 1.6221,                 1.2532,                0.92992,                0.21021,                0.29101,                 0.2141,                 0.1216,                  1.753,                 2.2604,                 1.0193,             0.00024546,             0.00024546,             0.00024546
                     70,                 1.6717,                 1.2598,                0.92395,                0.31054,                0.21657,                0.22059,                0.12573,                 1.7255,                 2.2775,                 1.0133,             0.00024363,             0.00024363,             0.00024363
                     71,                 1.6365,                 1.2328,                0.92016,                0.20603,                0.28444,                0.22794,                0.13416,                 1.7558,                 2.2654,                 1.0286,             0.00024179,             0.00024179,             0.00024179
